Symbol,Asset Class,Asset Subclass,Investment Name
FBIIX,Bonds,International,Fidelity International Bond Ind
FSKAX,Stocks,US,Fidelity Total Market Index Fun
FTIHX,Stocks,International,Fidelity Total International In
FXNAX,Bonds,US,Fidelity U.S. Bond Index Fund
SPAXX,Cash,US,
SPAXX**,Cash,US,
VBTIX,Bonds,US,Vanguard Bond Index Fund Total 
VBTLX,Bonds,US,Vanguard Total Bond Market Inde
VMFXX,Cash,US,Vanguard Money Market Reserves 
VMRXX,Cash,US,Vanguard Cash Reserves Federal 
VSMPX,Stocks,US,Vanguard Total Stock Market Ind
VTABX,Bonds,International,Vanguard Total International Bo
VTIAX,Stocks,International,Vanguard Total International St
VTIFX,Bonds,International,Vanguard Total International Bo
VTPSX,Stocks,International,Vanguard Total Intl Stock Index
VTSAX,Stocks,US,Vanguard Total Stock Market Ind
CASH,Cash,US,"Pathward Financial, Inc."
unknown,unknown,unknown,unknown
